sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-79",,,,,4.48,,
"Kepler-228",,,,,,,
"Kepler-905",,,,,4.50,,
"Kepler-92",,,,,4.14,,
"Kepler-1063",,,,,4.51,,
"Kepler-156",,,,,4.56,,
"Kepler-1979",,,,,4.53,,
"HIP 15799",,,,,,,
"Kepler-946",1.02,,,,4.52,0.400,
"Kepler-350",,,,,,,
"MOA-2019-BLG-008L",0.80,,,,,,
"MOA-2012-BLG-505L",0.10,,,,,,
"OGLE-2018-BLG-0506L",0.63,,,,,,
"Kepler-794",,-0.475,"[Fe/H]",,4.33,,
"Kepler-336",1.09,0.160,"[Fe/H]",,4.27,,0.7980
"Kepler-1607",1.14,0.050,"[Fe/H]",,4.33,3.160,
"Kepler-56",1.32,0.200,"[Fe/H]",,3.31,,0.0336
"Kepler-135",,0.045,"[Fe/H]",,4.34,,
"Kepler-414",,,,,4.48,,
"Kepler-1682",,,,,,,
"Kepler-1595",,,,,,,
"Kepler-863",0.96,-0.030,"[Fe/H]",,4.46,3.800,
"Kepler-1031",1.06,-0.100,"[Fe/H]",,4.47,,3.7949
"Kepler-365",,-0.218,"[M/H]",,,,
"HD 70642",1.05,0.164,"[Fe/H]",,4.43,,
"alf Ari",3.13,,,1.934,2.20,,
"Kepler-428",,,,,4.63,,
"Ross 458",,,,,,,
"KMT-2021-BLG-1770L",,,,,,,
"Kepler-515",,,,,,,
"OGLE-2018-BLG-0567L",0.25,,,,,,
"OGLE-2016-BLG-0613L",0.63,,,,,,
"HD 143361",1.06,,,,,6.300,
"OGLE-2019-BLG-1470L",0.57,,,,,,
"Kepler-370",,,,-0.013,,,
"BD+15 2375",1.08,-0.220,"[Fe/H]",1.570,2.61,7.410,
"OGLE-2012-BLG-0724L",0.29,,,,,,
"Kepler-1172",0.97,,,,4.56,,
"HD 41004",,0.160,"[M/H]",,,,
"OGLE-2016-BLG-0613L",,,,,,,
"HD 39855",0.87,,,,,,
"OGLE-2018-BLG-0799L",0.59,,,,,,
"HD 128311",,,,,,,
"PSR J1719-1438",1.40,,,,,12.500,
"Kepler-361",1.08,-0.040,"[Fe/H]",,4.27,,0.5058
"OGLE-2017-BLG-1099L",0.45,,,,,,
"Kepler-1004",,0.104,"[M/H]",,,,
"alf Cen",,,,,,,
"Kepler-1519",,-0.201,"[Fe/H]",,4.52,,
"Kepler-14",1.39,-0.020,"[Fe/H]",,3.95,,0.2916
"Kepler-117",,-0.038,"[Fe/H]",,4.48,,
"HD 68988",1.17,0.305,"[Fe/H]",,4.31,,
"PH1",,,,,,,
"Kepler-1512",,,,,,,
"Kepler-984",0.94,,,,4.15,,
"Kepler-69",0.81,-0.300,"[Fe/H]",,4.40,,0.5985
"OGLE-2018-BLG-1185L",0.37,,,,,,
"Kepler-132",0.92,-0.260,"[Fe/H]",,4.36,,0.4964
"HD 60532",,,,,,,
"Kepler-81",0.65,,,,4.70,6.800,
"Kepler-29",1.00,0.000,"[Fe/H]",,5.00,,
"OGLE-2012-BLG-0950L",0.50,,,,,,
"HIP 15799",0.86,,,-0.252,4.43,,
"HD 11755",0.90,-0.740,"[Fe/H]",,1.67,10.200,
"Kepler-1443",,-0.291,"[Fe/H]",,4.37,,
"Kepler-320",,-0.244,"[Fe/H]",,4.53,,
"KIC 3558849",,,,,,,
"OGLE-2013-BLG-0341L",0.15,,,,,,
"MOA-2009-BLG-387L",0.19,,,,,,
"GJ 411",0.39,-0.380,"[Fe/H]",-1.658,,,
"OGLE-2007-BLG-368L",0.64,,,,,,
"Kepler-347",1.00,0.160,"[Fe/H]",,4.12,,0.1433
"Kepler-1813",0.82,-0.220,"[Fe/H]",,4.60,,3.3419
"Kepler-212",1.16,,,,4.37,,
"Kepler-1922",0.95,-0.280,"[Fe/H]",,4.55,,2.1959
"Kepler-923",,,,,4.46,,
"Kepler-926",,,,,4.62,,
"Kepler-1001",0.93,,,-0.279,4.56,,2.2402
"KOI-3503",1.11,-0.543,"[M/H]",0.300,4.25,,0.6988
"OGLE-2019-BLG-1053L",0.61,,,,,,
"Kepler-1359",0.72,,,-0.717,4.61,,3.0217
"Kepler-799",1.05,,,,4.49,,
"OGLE-2017-BLG-0406L",0.56,,,,,,
"HD 41004",0.95,0.230,"[Fe/H]",-0.293,4.37,1.000,
"Kepler-1964",,-0.085,"[Fe/H]",,4.63,,
"Kepler-365",1.03,-0.040,"[Fe/H]",,4.43,,1.6320
"PDS 70",0.64,,,-0.439,4.10,,0.5411
"2MASS J12073346-3932539",0.19,,,-2.561,5.03,,25.2795
"Kepler-1370",1.20,0.220,"[M/H]",0.458,4.19,,0.5408
"OGLE-2018-BLG-0516L",0.47,,,,,,
"HD 167677",0.96,-0.290,"[Fe/H]",,4.43,,
"Kepler-352",0.83,,,,4.63,0.600,
"61 Vir",0.88,-0.020,"[Fe/H]",-0.095,4.36,,
"Kepler-383",,,,,,,
"Kepler-245",,,,,4.56,,
"Kepler-1544",0.77,0.000,"[Fe/H]",,4.62,,5.2758
"HD 195019",,,,,,,
"Kepler-565",,-0.292,"[Fe/H]",,4.58,,
"HD 141004",,,,,,,
"Kepler-365",1.00,,,,4.43,4.000,
"Kepler-365",1.04,-0.040,"[Fe/H]",,4.44,,2.4053
"Kepler-1617",1.10,-0.128,"[M/H]",0.341,4.20,,0.5959
"OGLE-2015-BLG-1771L",0.09,,,,,,
"Kepler-1964",0.73,-0.080,"[Fe/H]",,4.60,,4.0874
"Kepler-547",,-0.121,"[Fe/H]",,4.51,,
"KMT-2018-BLG-1990L",0.08,,,,,,
"Kepler-1045",,,,,4.66,,
"HD 156846",,,,,,,
"Kepler-626",1.04,,,,4.24,6.500,
"Kepler-884",1.00,-0.180,"[Fe/H]",,4.41,,3.6200
"Kepler-1897",0.82,,,-0.390,4.48,,1.7937
"HD 114783",,,,,,,
"Kepler-1784",0.81,,,,4.45,13.800,
"WASP-22",,,,,4.34,,
"HD 185269",,,,,,,
"Kepler-1079",,,,,3.80,,
"OGLE-2018-BLG-1126L",0.69,,,,,,
"HAT-P-46",1.76,,,0.764,4.40,,0.9153
"WASP-66",,,,,4.07,,
"HAT-P-45",0.99,,,0.266,4.11,,0.4573
"TOI-4600",0.89,0.160,"[Fe/H]",-0.377,4.57,2.300,2.3600
"WASP-129",,,,0.112,,,
"WASP-96",0.98,,,0.031,4.33,,0.9926
"TOI-2095",,,,,4.77,,
"HAT-P-57",1.47,-0.250,"[Fe/H]",0.806,4.25,1.000,0.6150
"TOI-4127",1.30,,,0.381,4.36,,0.9415
"WASP-106",1.19,-0.090,"[Fe/H]",,4.23,7.000,0.6270
"WASP-6",0.88,-0.200,"[Fe/H]",,,11.000,
"NGTS-20",1.19,,,0.645,3.99,,0.2796
"WASP-129",1.10,,,0.165,4.37,,1.0810
"TOI-654",0.42,,,-1.644,4.80,,7.6024
"TOI-2134",,,,,4.50,,
"WASP-19",0.94,0.140,"[Fe/H]",,4.39,10.200,1.2470
"GJ 806",,,,,,,
"WASP-96",,,,,4.42,,
"CoRoT-11",1.27,-0.030,"[Fe/H]",,4.22,2.000,0.6900
"WASP-19",0.96,0.040,"[Fe/H]",-0.043,4.42,6.400,1.3390
"WASP-43",,,,,,0.800,
"WASP-66",1.30,,,,,,
"TOI-4406",,,,,4.17,,
"TOI-2095",,,,,4.77,,
"WASP-66",1.39,0.050,"[Fe/H]",,5.00,,0.2400
"CoRoT-11",,,,0.378,,,
"TOI-1439",1.23,0.226,"[Fe/H]",0.441,4.11,4.600,0.4045
"WASP-87",1.31,,,0.586,4.16,,0.4790
"HATS-18",1.04,,,,,,
"WASP-6",0.93,-0.143,"[M/H]",-0.297,4.58,,2.3981
"WASP-99",,,,,4.12,,
"TOI-5076",0.77,0.299,"[M/H]",-0.463,4.47,,1.7657
"GJ 806",,,,,4.80,,
"WASP-22",1.11,0.050,"[Fe/H]",,,,
"HD 21520",,,,,4.43,,
"WASP-31",1.20,-0.080,"[M/H]",0.336,4.31,,0.8285
"HIP 8152",1.04,,,-0.070,4.53,,1.8841
"WASP-87",,,,,4.32,,
"WASP-19",0.90,0.150,"[Fe/H]",,4.45,,
"WASP-66",1.56,0.050,"[M/H]",0.687,4.29,,0.6820
"TOI-2134",0.74,0.120,"[Fe/H]",-0.717,4.80,3.800,2.9465
"WASP-23",,-0.020,"[Fe/H]",,4.20,,
"HAT-P-46",,,,0.170,,,
"Gliese 12",0.24,,,-2.071,4.96,,17.4566
"WASP-6",0.84,-0.150,"[Fe/H]",,4.49,9.000,1.8260
"LHS 1815",0.50,-0.120,"[Fe/H]",-1.387,4.77,,5.6000
"WASP-19",0.97,,,,,,
"TOI-5076",0.19,,,-2.386,5.03,,24.5681
"HATS-2",0.82,,,-0.316,4.42,,1.4392
"WASP-87",,,,0.537,,,
"TOI-2095",0.46,,,-1.419,4.77,,6.5331
"WASP-96",1.06,0.140,"[Fe/H]",,4.42,8.000,1.2990
"WASP-43",,,,,4.65,,
"HAT-P-63",0.93,0.251,"[Fe/H]",-0.146,4.43,9.000,1.4480
"WASP-43",0.69,-0.010,"[Fe/H]",,4.50,,2.5260
"WASP-99",,,,0.543,,,
"WASP-19",0.97,0.210,"[M/H]",-0.059,4.40,,1.2586
"TOI-6029",1.06,,,0.837,3.65,,0.0898
"HAT-P-45",1.26,0.070,"[Fe/H]",0.400,4.30,2.000,
"TOI-654",0.53,,,,4.90,,
"TOI-2525",,,,,4.51,,
"HAT-P-45",1.26,0.070,,,,2.000,
"WASP-22",1.14,0.260,"[Fe/H]",,4.57,,0.6100
"TOI-2285",,,,,4.77,,
"HATS-18",,,,-0.059,,,
"WASP-129",,,,,4.53,,
"TOI-5076",,,,,4.47,,
"TOI-4600",,,,,4.53,,
"TOI-1439",,,,,4.04,,
"TOI-4406",1.07,-0.070,"[M/H]",0.340,4.17,,0.5348
"Kepler-633",1.03,-0.400,"[Fe/H]",,4.07,,0.4336
"KMT-2018-BLG-0087L",0.11,,,,,,
"Kepler-1483",1.07,-0.280,"[Fe/H]",,4.46,,0.1472
"Kepler-132",,-0.053,"[Fe/H]",,4.13,,
"HD 210193",1.06,0.130,"[M/H]",0.053,4.43,,1.3540
"Kepler-1031",,,,,,,
"Kepler-633",,,,,4.09,,
"HN Lib",,,,,,,
"HD 142022",0.98,0.190,"[Fe/H]",,4.36,,
"OGLE-2018-BLG-1212L",0.16,,,,,,
"Kepler-106",0.94,-0.160,"[Fe/H]",,4.39,,0.9542
"GJ 667",,,,,,,
"OGLE-2019-BLG-0954L",0.80,,,,,,
"HD 208527",,,,,,,
"Kepler-92",,,,,,,
"Kepler-937",0.96,-0.300,"[Fe/H]",,4.36,,1.1152
"Kepler-591",,,,,,,
"Kepler-589",,,,,,,
"HD 196050",1.11,,,,4.28,5.160,
"Kepler-450",,-0.342,"[Fe/H]",,4.27,,
"KMT-2019-BLG-1339L",0.26,,,,,,
"HD 62509",2.08,0.090,"[Fe/H]",,2.91,,
"GJ 411",,,,,,,
"Kepler-272",,,,,4.50,,
"Kepler-147",,,,,,,
"HD 196050",1.31,0.210,"[Fe/H]",,4.25,,
"Kepler-598",,,,,4.46,,
"Kepler-674",,-0.144,"[Fe/H]",,4.61,,
"Kepler-1516",0.94,-0.220,"[Fe/H]",,4.42,,7.4087
"alf Tau",,,,,,,
"Kepler-344",,,,,4.45,,
"Kepler-672",,,,,,,
"Kepler-749",,,,,,,
"Kepler-132",,,,,,,
"Kepler-154",0.90,-0.120,"[Fe/H]",,4.42,,1.0325
"Kepler-732",0.46,0.140,"[Fe/H]",,4.81,,6.0942
"Kepler-316",,,,,4.75,,
"Kepler-1184",,-0.217,"[Fe/H]",,4.57,,
"HD 213240",1.57,0.150,"[Fe/H]",,4.27,,
"HIP 79431",0.42,,,-1.523,,,
"Kepler-1711",,-0.357,"[Fe/H]",,4.39,,
"Kepler-549",0.90,,,-0.306,4.54,,2.0900
"OGLE-2019-BLG-0960L",0.48,,,,,,
"Kepler-36",1.09,,,,4.06,6.400,
"OGLE-2013-BLG-0341L",,,,,,,
"KMT-2021-BLG-1689L",0.68,,,,,,
"Kepler-1504",1.00,0.160,"[Fe/H]",,4.13,,0.0345
"Kepler-500",,,,,4.51,,
"Kepler-794",1.11,-0.093,"[M/H]",0.506,4.05,,0.3481
"Kepler-24",0.97,,,,,,
"Kepler-85",,,,,4.57,,
"HD 221416",,,,,3.39,,
"BD+20 274",,-0.460,"[M/H]",,,,
"Kepler-1331",,,,,,,
"MOA-2019-BLG-008L",0.90,,,,,,
"Kepler-1676",,-0.104,"[Fe/H]",,4.57,,
"Kepler-712",0.82,,,,4.64,0.700,
"HD 121504",1.62,0.150,"[Fe/H]",,4.59,,
"Kepler-932",,,,,,,
"OGLE-2016-BLG-1195L",0.08,,,,,,
"Kepler-87",0.98,-0.200,"[Fe/H]",,4.21,,0.4999
"Kepler-42",,,,,4.71,,
"Kepler-496",,,,,,,
"Kepler-509",,-0.132,"[Fe/H]",,4.36,,
"Kepler-1337",0.64,,,,4.67,13.900,
"HD 197037",,,,,,,
"Kepler-308",,,,,4.51,,
"Kepler-970",0.67,,,,4.66,,
"Kepler-1018",,,,,,,
"OGLE-2018-BLG-1269L",1.11,,,,,,
"Kepler-631",,,,,4.46,,
"Kepler-528",0.99,-0.090,"[M/H]",0.158,4.22,,0.6642
"Kepler-473",,,,,3.97,,
"Kepler-126",,,,,4.28,,
"HD 4208",0.88,-0.280,"[Fe/H]",,4.50,3.813,
"Kepler-1879",,-0.279,"[Fe/H]",,4.27,,
"Kepler-431",,,,,,,
"Kepler-32",0.52,0.040,"[Fe/H]",,4.76,,0.4562
"Kepler-1693",0.94,,,,4.56,0.800,
"TOI-1452",,,,,4.98,,
"Kepler-1079",1.37,,,,3.80,,
"BD+03 2562",,-0.710,"[M/H]",,,,
"alf Ari",,,,,,,
"Kepler-154",,,,,4.59,,
"Kepler-1524",1.03,0.100,"[Fe/H]",,4.46,,0.8544
"Kepler-431",1.21,,,,4.01,4.340,
"Kepler-235",,,,,,,
"Kepler-1991",,,,,4.57,,
"OGLE-2016-BLG-1067L",0.28,,,,,,
"Kepler-1976",,,,,,,
"Kepler-385",,,,,4.45,,
"Kepler-735",,,,,4.60,,
"KMT-2019-BLG-2783L",0.34,,,,,,
"Gl 49",,,,,,,
"GJ 411",,,,,,,
"Kepler-938",,-0.122,"[Fe/H]",,4.89,,
"HIP 57274",0.77,0.010,"[Fe/H]",,4.11,,
"bet UMi",1.40,-0.270,"[Fe/H]",2.730,1.50,2.950,
"Kepler-1132",0.80,-0.340,"[Fe/H]",,4.62,,1.5077
"Kepler-550",,0.030,"[Fe/H]",,4.51,,
"Kepler-1057",1.11,,,-0.006,4.56,,2.0428
"GJ 896",0.17,,,,,,
"Kepler-198",0.94,0.070,"[Fe/H]",,4.47,,1.1208
"KMT-2016-BLG-1836L",0.53,,,,,,
"Kepler-1006",0.89,,,,4.32,,
"HD 39194",0.67,-0.610,"[Fe/H]",-0.409,4.53,10.000,
"HD 158038",1.30,0.190,"[Fe/H]",,3.24,,
"Kepler-1006",,,,,4.32,,
"HD 98219",1.62,0.050,"[Fe/H]",,3.59,,
"Kepler-792",,-0.060,"[Fe/H]",,4.45,,
"KMT-2019-BLG-1552L",0.79,,,,,,
"Kepler-311",1.12,,,,4.38,1.950,
"OGLE-2014-BLG-0676L",0.73,,,,,,
"Kepler-1031",0.99,,,,4.48,,
"MOA-2015-BLG-337L",0.07,,,,,,
"Kepler-1551",,,,0.200,,,
"KOI-142",,,,,,,
"HD 114783",0.85,,,,4.57,6.760,
"Kepler-1079",1.42,0.380,"[Fe/H]",,3.78,,1.3765
"KMT-2018-BLG-1976L",0.65,,,,,,
"Kepler-1359",,,,,,,
"PH1",,,,,,,
"TCP J05074264+2447555",0.59,,,,,,
"bet UMi",,,,,,,
"OGLE-2015-BLG-0966L",0.38,,,,,,
"Kepler-405",,,,-0.351,,,
"Kepler-132",1.03,-0.130,"[Fe/H]",,4.37,4.370,
"Kepler-633",1.03,-0.400,"[Fe/H]",,4.07,,3.0417
"KMT-2019-BLG-0253L",0.70,,,,,,
"OGLE-2019-BLG-1492L",0.68,,,,,,
"Kepler-1666",,,,0.178,,,
"OGLE-2018-BLG-1119L",0.48,,,,,,
"Kepler-80",,,,,4.67,,
"Kepler-675",0.76,0.066,"[M/H]",-0.507,4.49,,1.9157
"OGLE-2015-BLG-1771L",0.06,,,,,,
"Kepler-565",0.98,-0.020,"[Fe/H]",,4.47,4.070,
"Kepler-444",,,,,,,
"Kepler-665",0.79,0.100,"[Fe/H]",,4.50,,4.8978
"KMT-2019-BLG-1953L",0.31,,,,,,
"Kepler-1564",,-0.011,"[Fe/H]",,4.80,,
"Kepler-1302",,,,,4.50,,
"GJ 251",0.35,,,-1.789,4.86,,10.0532
"Kepler-904",,-0.180,"[Fe/H]",,4.67,,
"Kepler-1433",,,,,,,
"Kepler-934",,0.304,"[Fe/H]",,4.32,,
"HD 177830",,,,,,,
"OGLE-2015-BLG-0966L",0.38,,,,,,
"Kepler-563",0.77,-0.080,"[Fe/H]",,4.50,,7.1643
"KMT-2019-BLG-0297L",0.21,,,,,,
"Kepler-799",,0.121,"[Fe/H]",,4.55,,
"Kepler-605",,0.029,"[Fe/H]",,4.86,,
"OGLE-2015-BLG-0954L",0.33,,,,,,
"OGLE-2019-BLG-0960L",0.42,,,,,,
"HD 167677",1.00,,,,,11.500,
"Kepler-1178",0.53,-1.420,"[Fe/H]",,4.73,,2.4261
"MOA-2013-BLG-220L",0.88,,,,,,
"Kepler-791",,,,,,,
"Kepler-365",1.03,-0.040,"[Fe/H]",,4.43,,1.6320
"51 Peg",,,,,,,
"Kepler-202",,,,,4.64,,
"Kepler-178",,,,,,,
"Kepler-896",,,,,,,
"Kepler-1191",,,,,,,
"Kepler-1119",1.02,-0.100,"[Fe/H]",,4.45,,0.1189
"OGLE-2016-BLG-1227L",0.68,,,,,,
"Kepler-382",0.80,,,,4.46,,
"Kepler-666",,,,,,,
"OGLE-2019-BLG-0468L",,,,,,,
"KMT-2018-BLG-1990L",0.15,,,,,,
"HD 41004",,,,,,0.220,
"Kepler-1354",0.99,-0.280,"[Fe/H]",,4.42,,0.2253
"HD 102195",,,,,,,
"Kepler-712",,,,,,,
"Kepler-1000",1.34,-0.040,"[Fe/H]",,4.22,,0.3117
"OGLE-2016-BLG-1195L",0.37,,,,,,
"Kepler-1164",0.77,,,,4.53,13.900,
"KMT-2018-BLG-1025L",0.08,,,,,,
"11 UMi",2.78,-0.020,"[Fe/H]",,1.93,,
"HD 7199",,,,,,,
"OGLE-2019-BLG-1470L",0.10,,,,,,
"Kepler-443",0.74,-0.010,"[Fe/H]",-0.664,4.61,3.200,2.9600
"Kepler-562",0.99,,,0.016,4.36,,1.0988
"HD 178911",,,,,,,
"Kepler-1655",,,,,4.28,,
"KMT-2016-BLG-1836L",0.49,,,,,,
"alf Cen",,,,,,,
"KMT-2018-BLG-1025L",0.22,,,,,,
"Kepler-1983",,,,,,,
"HD 30177",,,,,,,
"Kepler-1647",,-0.786,"[Fe/H]",,4.04,,
"Kepler-462",,,,,3.90,,
"70 Vir",,,,,,,
"HD 142245",,,,,,,
"Kepler-416",,,,,,,
"Kepler-150",,,,,4.53,,
"Kepler-203",,,,,,,
"Kepler-1036",,,,-0.228,,,
"KMT-2021-BLG-1391L",0.23,,,,,,
"Kepler-938",0.91,-0.140,"[Fe/H]",,4.56,,1.9524
"Kepler-1387",,,,-0.583,,,
"Kepler-365",,,,,,,
"Kepler-938",0.93,,,,4.58,0.500,
"Kepler-293",,0.134,"[Fe/H]",,4.64,,
"Kepler-778",,-0.038,"[Fe/H]",,4.69,,
"Kepler-1079",1.24,,,,3.79,4.600,
"Kepler-1008",,,,,,,
"Kepler-879",,,,,4.41,,
"Kepler-938",,,,,,,
"Kepler-808",,-0.121,"[M/H]",,,,
"Kepler-419",,,,,,,
"MOA-2010-BLG-328L",0.64,,,,,,
"OGLE-2016-BLG-1195L",0.37,,,,,,
"Kepler-1794",0.73,,,,4.58,14.000,
"HD 75302",1.06,,,,,2.100,
"Kepler-1574",,0.070,"[Fe/H]",,4.61,,
"Kepler-1031",1.06,-0.100,"[Fe/H]",,4.47,,3.7949
"Kepler-1304",0.76,-0.240,"[Fe/H]",,4.49,,0.0340
"HD 30856",,,,,,,
"Kepler-327",0.55,,,,4.74,,
"Kepler-1344",,-0.083,"[Fe/H]",,4.38,,
"HD 102365",,,,,,,
"alf Cen",,,,,,,
"KMT-2022-BLG-1013L",0.18,,,,,,
"OGLE-2017-BLG-1806L",0.34,,,,,,
"TOI-1442",,,,,4.92,,
"Kepler-777",,,,-0.995,,,
"KMT-2021-BLG-0192L",0.55,,,,,,
"Kepler-330",0.82,-0.100,"[Fe/H]",,4.61,,1.4156
"Kepler-110",1.02,-0.160,"[Fe/H]",,4.02,,2.4614
"HD 195019",,,,0.333,,,
"Kepler-324",0.86,,,,4.61,,
"Kepler-172",,,,-0.067,,,
"alf Cen",,,,,,,
"HD 148156",1.22,0.290,"[Fe/H]",0.250,4.56,,
"KMT-2019-BLG-0298L",0.69,,,,,,
"Kepler-1451",,-0.085,"[Fe/H]",,4.77,,
"Kepler-132",0.98,,,,4.40,5.600,
"Kepler-945",,0.182,"[Fe/H]",,4.87,,
"OGLE-2016-BLG-0613L",0.81,,,,,,
"OGLE-2012-BLG-0358L",0.02,,,,,,
"OGLE-2018-BLG-0799L",0.60,,,,,,
"Kepler-1509",,,,0.396,,,
"Kepler-405",1.02,,,,4.61,,
"KMT-2018-BLG-2602L",0.66,,,,,,
"Kepler-295",,,,,,,
"Kepler-21",1.34,-0.150,"[Fe/H]",,4.03,,0.4298
"Kepler-805",1.12,-0.140,"[Fe/H]",,4.08,,0.1281
"Kepler-132",0.93,-0.240,"[Fe/H]",,4.32,,0.1100
"OGLE-2017-BLG-1806L",0.48,,,,,,
"Kepler-1804",,0.086,"[Fe/H]",,4.20,,
"Kepler-1653",0.68,-0.220,"[Fe/H]",,4.59,,3.5460
"Kepler-190",0.85,,,-0.441,4.59,,2.5748
"Kepler-1544",,,,,,,
"Kepler-938",0.91,-0.140,"[Fe/H]",,4.56,,1.9524
"Kepler-367",0.68,,,,4.64,13.800,
"Kepler-1689",0.92,-0.160,"[Fe/H]",,4.40,,4.7511
"HD 190007",,,,,,,
"Kepler-132",,,,,,,
"Kepler-636",0.55,-1.440,"[Fe/H]",,4.77,,6.6343
"Kepler-352",,,,,4.64,,
"Kepler-1892",0.93,,,-0.301,4.58,,2.3602
"HD 40979",,,,,,,
"Kepler-932",,,,,3.95,,
"Kepler-903",,,,,,,
"HD 66428",1.01,0.250,"[Fe/H]",0.109,4.31,,
"alf Cen",,,,,,,
"OGLE-2018-BLG-0799L",0.09,,,,,,
"Kepler-1397",1.04,0.000,"[Fe/H]",,4.35,,0.3278
"KMT-2019-BLG-1715L",0.59,,,,,,
"Kepler-1643",0.79,,,-0.472,4.50,,1.9782
"HD 62509",2.10,0.070,"[Fe/H]",1.590,3.07,0.980,
"Kepler-630",1.04,-0.245,"[M/H]",0.302,4.15,,0.5181
"Kepler-425",,0.255,"[Fe/H]",,4.73,,
"Kepler-1317",,0.056,"[Fe/H]",,4.64,,
"GJ 411",0.39,-0.090,"[Fe/H]",-1.710,4.87,,
"OGLE-2018-BLG-1367L",0.28,,,,,,
"Kepler-301",,,,,4.53,,
"Kepler-116",1.23,,,0.421,4.25,,0.6739
"OGLE-2018-BLG-0516L",0.47,,,,,,
"HD 116029",0.83,0.090,"[Fe/H]",,2.98,,
"Kepler-1198",0.88,,,,4.40,10.600,
"nu Oph",,0.110,"[M/H]",,,,
"Kepler-1651",0.21,,,,4.90,,
"OGLE-2019-BLG-0468L",0.92,,,,,,
"Kepler-1830",1.44,0.240,"[Fe/H]",,3.98,,0.2873
"HD 92788",1.10,0.320,"[Fe/H]",0.091,4.30,3.500,
"Kepler-1319",0.21,,,,4.90,,
"HD 147379",0.63,,,-1.045,4.61,,3.2162
"HATS-28",0.96,,,-0.130,4.47,,1.5889
"Kepler-648",,,,,,,
"Kepler-530",,,,,,,
"Kepler-278",,,,,,,
"DMPP-4",,,,,,,
"Kepler-769",,-0.173,"[Fe/H]",,4.56,,
"Kepler-1498",,,,,,,
"Kepler-1433",1.11,-0.020,"[Fe/H]",,4.45,,1.6558
"Kepler-886",,-0.325,"[Fe/H]",,4.43,,
"HD 63454",,,,,,,
"Kepler-371",,,,,4.56,,
"HD 110067",,,,,,,
"Kepler-822",0.95,,,,4.43,5.900,
"Kepler-903",0.98,0.050,"[Fe/H]",,4.46,4.790,
"Kepler-27",,,,,4.51,,
"Kepler-1485",1.10,,,0.280,4.26,,0.7385
"Kepler-1964",0.73,-0.080,"[Fe/H]",,4.60,,4.0874
"Kepler-524",,,,0.399,,,
"OGLE-2015-BLG-0966L",0.38,,,,,,
"Kepler-1159",1.04,0.066,"[M/H]",0.298,4.17,,0.5415
"Kepler-164",,,,,4.46,,
"KMT-2021-BLG-2478L",0.20,,,,,,
"MOA-2011-BLG-322L",0.39,,,,,,
"Kepler-49",0.55,,,,4.74,13.900,
"HATS-1",,,,0.009,,,
"Kepler-16",,,,,,,
"WASP-98",,,,-0.358,,,
"LTT 1445",0.26,-0.340,"[Fe/H]",,4.97,,17.3000
"HATS-1",0.99,-0.060,"[Fe/H]",,,6.000,
"TOI-238",,,,,4.57,,
"WASP-98",0.81,-0.490,"[Fe/H]",,4.61,2.700,2.8010
"TOI-954",,,,,3.88,,
"WASP-98",,,,,,,
"Kepler-938",0.92,-0.030,"[Fe/H]",,4.51,4.270,
"HD 20794",,,,,,,
"HD 20794",,,,,,,
"eps Ind",0.68,,,-0.638,,,
"TOI-1062",0.94,0.140,"[Fe/H]",,4.55,2.500,2.2200
"TOI-1685",0.46,0.140,"[Fe/H]",-1.567,4.78,,6.7000
"HD 189733",0.85,0.020,"[Fe/H]",-0.523,4.64,1.000,
"HD 20794",,,,,,,
"WASP-43",0.58,,,,,,
"HATS-2",0.90,,,,4.51,7.200,1.3460
"eps Ind",,,,,,,
"TOI-757",,,,,4.40,,
"eps Ind",0.76,0.220,"[Fe/H]",,5.25,3.500,
"HD 77946",,,,,4.24,,
"HD 113538",0.63,,,-0.862,4.47,,1.9704
"HD 18015",1.50,-0.140,"[Fe/H]",,3.63,,
"Kepler-137",0.91,,,,4.53,4.400,
"WASP-106",1.19,-0.090,"[Fe/H]",,,7.000,
"HAT-P-46",1.28,0.300,"[Fe/H]",0.391,4.25,2.500,
"TOI-1898",1.25,-0.095,"[Fe/H]",0.551,4.12,3.100,0.4128
"WASP-96",,,,0.032,,,
"WASP-99",1.14,,,0.556,4.03,,0.3218
"WASP-66",,,,0.637,,,
"TOI-5076",0.80,0.200,"[Fe/H]",-0.489,4.60,9.000,1.4000
"WASP-31",,,,0.315,,,
"NGTS-20",1.47,0.150,"[Fe/H]",,3.80,4.100,0.3480
"WASP-106",0.93,-0.090,"[Fe/H]",,4.23,,0.5700
"TOI-4600",0.85,,,-0.384,4.53,,2.0789
"WASP-99",1.21,0.210,"[Fe/H]",,4.30,,0.3900
"HD 21520",1.06,,,0.060,4.43,,1.3454
"TOI-1136",1.03,,,-0.021,4.47,,1.5536
"TOI-4600",,,,,4.53,,
"LHS 1815",,,,,4.78,,
"HATS-22",,,,-0.616,,,
"Gliese 12",,,,,4.96,,
"TOI-1279",,,,,4.57,,
"TOI-2285",0.45,-0.050,"[Fe/H]",-1.542,,,
"TOI-2525",0.85,0.140,"[Fe/H]",-0.440,4.58,3.990,
"HD 21520",,,,,4.43,,
"TOI-5542",,,,,4.20,,
"NGTS-20",,,,,3.99,,
"WASP-23",,,,-0.377,,,
